,0
0,0.2335099
1,0.20074335
2,0.19768387
3,0.20333189
4,0.22110452
5,0.25916138
6,0.34902662
7,0.4233601
8,0.45866427
9,0.47340542
10,0.475886
11,0.47081053
12,0.45642784
13,0.44465032
14,0.42904514
15,0.41738245
16,0.41789478
17,0.42465854
18,0.42493498
19,0.45279175
20,0.41758013
21,0.37564892
22,0.320751
23,0.26486763
24,0.22432649
25,0.20357409
26,0.20142348
27,0.18968098
28,0.21147288
29,0.22739339
30,0.25886258
31,0.2881804
32,0.33472463
33,0.36926678
34,0.38113055
35,0.37586483
36,0.36119086
37,0.34149382
38,0.32295507
39,0.30807164
40,0.29855803
41,0.30234954
42,0.31551704
43,0.36921012
44,0.3507714
45,0.32792392
46,0.28492495
47,0.23795119
48,0.19783746
49,0.1850024
50,0.18012019
51,0.17858231
52,0.1830748
53,0.19544409
54,0.21151623
55,0.23631209
56,0.28407568
57,0.32305428
58,0.340801
59,0.34104243
60,0.3304818
61,0.3144797
62,0.29725215
63,0.28644773
64,0.28968233
65,0.3011075
66,0.3160357
67,0.30222163
68,0.37567446
69,0.3407693
70,0.27084574
71,0.20614302
72,0.1654391
73,0.15915361
74,0.15594065
75,0.15900248
76,0.17971069
77,0.23391066
78,0.33176354
79,0.40948907
80,0.4382288
81,0.44373044
82,0.4370308
83,0.42611164
84,0.4196647
85,0.4173336
86,0.4097882
87,0.40948904
88,0.41813654
89,0.42898512
90,0.42882526
91,0.45740718
92,0.42831558
93,0.3697944
94,0.30814564
95,0.24448192
96,0.21680091
97,0.19673021
98,0.19554189
99,0.1979642
100,0.21014169
101,0.25293636
102,0.32333702
103,0.38865212
104,0.41604516
105,0.42613256
106,0.43214834
107,0.4352228
108,0.4343999
109,0.4183514
110,0.40302244
111,0.38843632
112,0.4036132
113,0.4144193
114,0.4186484
115,0.4601614
116,0.438605
117,0.39173272
118,0.32502496
119,0.26663476
120,0.2217606
121,0.2064792
122,0.20166229
123,0.20418397
124,0.21502128
125,0.2551341
126,0.34032735
127,0.40905285
128,0.42714876
129,0.42664528
130,0.419726
131,0.41115886
132,0.39825988
133,0.38899025
134,0.37903723
135,0.36949545
136,0.37200135
137,0.38417336
138,0.394184
139,0.40194577
140,0.4171474
141,0.36664808
142,0.2878753
143,0.22707751
144,0.19364001
145,0.17959878
146,0.18104145
147,0.184814
148,0.20385699
149,0.24239963
150,0.32724205
151,0.40729713
152,0.43770224
153,0.4315495
154,0.41921303
155,0.4063576
156,0.38996822
157,0.37876523
158,0.36342788
159,0.350293
160,0.34408444
161,0.34390554
162,0.34452054
163,0.3834
164,0.39443716
165,0.3527578
166,0.28517205
167,0.22033715
168,0.19074902
169,0.1878181
170,0.187011
171,0.20312925
172,0.21588016
173,0.26554313
174,0.33623353
175,0.3983709
176,0.42683893
177,0.4232695
178,0.40899646
179,0.39467096
180,0.38093156
181,0.3688902
182,0.35428438
183,0.34313488
184,0.33780065
185,0.34076142
186,0.34358394
187,0.38281417
188,0.37009317
189,0.3352122
190,0.27813762
191,0.22112441
192,0.18542358
193,0.1749268
194,0.17721792
195,0.1793634
196,0.18633746
197,0.2070644
198,0.22260696
199,0.2658472
200,0.31914127
201,0.35232478
202,0.35818022
203,0.34496588
204,0.3266617
205,0.2993837
206,0.27907813
207,0.2705859
208,0.28342775
209,0.28861353
210,0.28379306
211,0.2969694
212,0.3278263
213,0.3028001
214,0.2542939
215,0.20345846
216,0.17337818
217,0.17162181
218,0.17094387
219,0.18021825
220,0.18585227
221,0.19253989
222,0.1838554
223,0.21776888
224,0.26015615
225,0.29447055
226,0.30452833
227,0.30519032
228,0.30404392
229,0.29012546
230,0.27489096
231,0.27016646
232,0.2778506
233,0.29440787
234,0.31738916
235,0.33269778
236,0.35406977
237,0.30920324
238,0.24277052
239,0.19892065
240,0.15563564
241,0.15160413
242,0.15443282
243,0.16069372
244,0.17540845
245,0.20968224
246,0.28309327
247,0.36333576
248,0.39527166
249,0.4072197
250,0.41522795
251,0.41620237
252,0.41217455
253,0.4088228
254,0.40001667
255,0.384757
256,0.37707585
257,0.3725847
258,0.36788478
259,0.4049543
260,0.40124863
261,0.3511685
262,0.28221357
263,0.22132313
264,0.18684779
265,0.1771358
266,0.1748566
267,0.18438244
268,0.20145686
269,0.23369172
270,0.28949827
271,0.35732272
272,0.38679987
273,0.39064482
274,0.39093798
275,0.3906181
276,0.38590625
277,0.3853339
278,0.37287197
279,0.3559938
280,0.3516333
281,0.35877556
282,0.3613667
283,0.3570675
284,0.3917829
285,0.34341538
286,0.2619264
287,0.20265284
288,0.17086624
289,0.16601136
290,0.16090162
291,0.15818013
292,0.16136415
293,0.19469762
294,0.289661
295,0.37130567
296,0.4030886
297,0.4157561
298,0.42337888
299,0.42643473
300,0.42208722
301,0.4148625
302,0.40131176
303,0.39313978
304,0.39915246
305,0.41739738
306,0.42196518
307,0.46843547
308,0.41609216
309,0.35987306
310,0.28527766
311,0.23324443
312,0.21151783
313,0.19530392
314,0.19020945
315,0.19161361
316,0.20535418
317,0.23971456
318,0.31730485
319,0.3736442
320,0.40042022
321,0.4039588
322,0.40115714
323,0.39190757
324,0.381319
325,0.37425902
326,0.36524388
327,0.35806137
328,0.3567292
329,0.35151964
330,0.34259638
331,0.3453861
332,0.3789164
333,0.3435633
334,0.2723274
335,0.20873764
336,0.18361874
337,0.18591467
338,0.18442228
339,0.18672138
340,0.20023474
341,0.22345695
342,0.28103608
343,0.3523197
344,0.3812328
345,0.38442028
346,0.3794598
347,0.37244266
348,0.3591839
349,0.3465758
350,0.33339953
351,0.32139465
352,0.31630832
353,0.3190784
354,0.31239522
355,0.32087123
356,0.35736433
357,0.3328281
358,0.2781257
359,0.22058752
360,0.19222847
361,0.19022171
362,0.18727958
363,0.18787257
364,0.19630401
365,0.20417121
366,0.21933678
367,0.2641757
368,0.3063026
369,0.33743688
370,0.34816876
371,0.34538198
372,0.33694506
373,0.3237059
374,0.31249613
375,0.30968145
376,0.31690478
377,0.33986276
378,0.35480374
379,0.41373712
380,0.35476157
381,0.3147489
382,0.26949087
383,0.22134927
384,0.1963043
385,0.19018126
386,0.19830686
387,0.1940954
388,0.20147812
389,0.20906392
390,0.21557614
391,0.23198554
392,0.2715994
393,0.30535632
394,0.32341218
395,0.32649887
396,0.31748858
397,0.29920816
398,0.28674468
399,0.28046608
400,0.28411725
401,0.29460755
402,0.3033322
403,0.32048088
404,0.3497242
405,0.31172997
406,0.25007445
407,0.19154751
408,0.16371964
409,0.15797715
410,0.15851434
411,0.1683819
412,0.17502983
413,0.21385917
414,0.2652902
415,0.3284332
416,0.3697145
417,0.38817847
418,0.39520717
419,0.39244515
420,0.3808467
421,0.37046424
422,0.35602036
423,0.34307447
424,0.3443652
425,0.35158303
426,0.3557386
427,0.3312148
428,0.37531295
429,0.33988664
430,0.2713769
431,0.20476525
432,0.16444172
433,0.15056126
434,0.14587495
435,0.14605391
436,0.15641996
437,0.18682948
438,0.2526484
439,0.32526428
440,0.3697709
441,0.3890456
442,0.39745015
443,0.3893805
444,0.38654456
445,0.37504992
446,0.37033895
447,0.36177492
448,0.36182743
449,0.37871006
450,0.38376847
451,0.3965459
452,0.38799027
453,0.34065944
454,0.27696258
455,0.2165702
456,0.17758523
457,0.15953542
458,0.15427312
459,0.15550788
460,0.1697993
461,0.20626813
462,0.27924687
463,0.35395452
464,0.3972096
465,0.418661
466,0.42212558
467,0.4182114
468,0.40815789
469,0.40401912
470,0.39175573
471,0.37999472
472,0.37673962
473,0.37812245
474,0.37425607
475,0.4233461
476,0.38498396
477,0.3399872
478,0.2778684
479,0.21623182
480,0.176401
481,0.15881942
482,0.161724
483,0.17099601
484,0.18859604
485,0.23080182
486,0.28873247
487,0.3538571
488,0.38574433
489,0.39811897
490,0.4021155
491,0.39717823
492,0.38664386
493,0.3773189
494,0.36218134
495,0.34634307
496,0.33719757
497,0.3369738
498,0.33935744
499,0.3310035
500,0.37979725
501,0.35353163
502,0.28976792
503,0.22514504
504,0.1811973
505,0.16035162
506,0.15367797
507,0.15517564
508,0.1663078
509,0.2000084
510,0.2543447
511,0.32056266
512,0.35670584
513,0.3772406
514,0.38340977
515,0.37154013
516,0.3485421
517,0.33114663
518,0.31443945
519,0.303367
520,0.29452637
521,0.29435527
522,0.29399613
523,0.28557998
524,0.34112445
525,0.3196051
526,0.27010515
527,0.21464917
528,0.18532246
529,0.17180425
530,0.16029426
531,0.1595055
532,0.16237913
533,0.17931196
534,0.18993658
535,0.22715138
536,0.27743807
537,0.33015683
538,0.36421794
539,0.37812626
540,0.37334612
541,0.35578257
542,0.34177506
543,0.3270215
544,0.32663733
545,0.33361226
546,0.33423188
547,0.37554407
548,0.3366961
549,0.3050816
550,0.26418462
551,0.2221676
552,0.18629953
553,0.1759724
554,0.17330624
555,0.1692295
556,0.17010155
557,0.17547354
558,0.17524433
559,0.19701047
560,0.23687962
561,0.27856117
562,0.30759978
563,0.31411183
564,0.30162185
565,0.27384555
566,0.2500866
567,0.2298798
568,0.22340801
569,0.23155406
570,0.24424313
571,0.2467849
572,0.30035698
573,0.27624923
574,0.21593262
575,0.16937615
576,0.15289468
577,0.14230593
578,0.14376004
579,0.14530198
580,0.15194209
581,0.17658697
582,0.24044695
583,0.31946304
584,0.35914424
585,0.36868587
586,0.37896705
587,0.38359895
588,0.3752558
589,0.3699343
590,0.35605317
591,0.34874678
592,0.34791097
593,0.35184512
594,0.35080728
595,0.36451653
596,0.37608445
597,0.3329164
598,0.26300246
599,0.20011471
600,0.1774912
601,0.16310537
602,0.16256717
603,0.1589527
604,0.16360313
605,0.19938299
606,0.26692817
607,0.33404443
608,0.36707202
609,0.37699988
610,0.3883756
611,0.39465004
612,0.3967582
613,0.3969292
614,0.3890495
615,0.3758726
616,0.36987406
617,0.35895553
618,0.35118598
619,0.37126386
620,0.38390267
621,0.3434443
622,0.27263257
623,0.20553647
624,0.1696573
625,0.16008632
626,0.16630298
627,0.1769577
628,0.18193692
629,0.20168716
630,0.26671457
631,0.34112865
632,0.37689492
633,0.3949013
634,0.4051621
635,0.41373515
636,0.4131414
637,0.41561055
638,0.4168775
639,0.40340218
640,0.38738564
641,0.3806133
642,0.3742409
643,0.3889017
644,0.39901233
645,0.35515362
646,0.28206372
647,0.21812488
648,0.19309662
649,0.17595643
650,0.18092532
651,0.19031097
652,0.201078
653,0.2117659
654,0.27566025
655,0.35842752
656,0.40039316
657,0.42225075
658,0.43444878
659,0.43574888
660,0.4274595
661,0.42107573
662,0.41417557
663,0.403656
664,0.4006963
665,0.40120095
666,0.39213645
667,0.43947765
668,0.39545736
669,0.34573287
670,0.27805364
671,0.22895205
672,0.2016403
673,0.17873944
674,0.16999844
675,0.17371263
676,0.1902619
677,0.22411412
678,0.27011245
679,0.3377083
680,0.38023508
681,0.3986278
682,0.41140556
683,0.41243148
684,0.4051918
685,0.3996135
686,0.38913965
687,0.37558204
688,0.36057016
689,0.3460154
690,0.32851645
691,0.3035981
692,0.34317145
693,0.31909788
694,0.26101777
695,0.20032808
696,0.1671899
697,0.15439013
698,0.14967701
699,0.15244633
700,0.14633541
701,0.15592915
702,0.16131434
703,0.19710268
704,0.24861552
705,0.28646976
706,0.30422226
707,0.3009021
708,0.29157466
709,0.27958137
710,0.2677021
711,0.25854293
712,0.26301846
713,0.26895562
714,0.27120265
715,0.2685606
716,0.293981
717,0.2738212
718,0.23108688
719,0.17964065
720,0.15392216
721,0.13778946
722,0.13070264
723,0.13046107
724,0.13371983
725,0.13987547
726,0.15710095
727,0.18808056
728,0.22859725
729,0.26055315
730,0.2732463
731,0.27250093
732,0.27155995
733,0.26249957
734,0.25100225
735,0.24824207
736,0.25478104
737,0.26943722
738,0.27762747
739,0.28527886
740,0.3242046
741,0.2956654
742,0.23539464
743,0.18027444
744,0.14917225
745,0.14465332
746,0.14251018
747,0.1448003
748,0.15871961
749,0.19200094
750,0.25579762
751,0.33467415
752,0.37170485
753,0.3873893
754,0.39606714
755,0.3915037
756,0.38548723
757,0.38071373
758,0.36718366
759,0.3583523
760,0.3536929
761,0.35056233
762,0.35265064
763,0.36244017
764,0.38305756
765,0.34353438
766,0.27787265
767,0.21007296
768,0.17680934
769,0.16821665
770,0.16838576
771,0.16671053
772,0.17689252
773,0.20061393
774,0.2552361
775,0.3260843
776,0.3628403
777,0.38005534
778,0.39183676
779,0.39452097
780,0.3937725
781,0.3982632
782,0.38700423
783,0.37868112
784,0.37158278
785,0.36706316
786,0.35938397
787,0.3514869
788,0.38770515
789,0.347481
790,0.2784266
791,0.21845092
792,0.19663112
793,0.17872061
794,0.17313446
795,0.17610282
796,0.18774097
797,0.22597575
798,0.27420652
799,0.34269172
800,0.37876195
801,0.397912
802,0.407285
803,0.41209954
804,0.40819007
805,0.40293655
806,0.3879913
807,0.374134
808,0.3750567
809,0.38777182
810,0.3877921
811,0.41108185
812,0.37775257
813,0.33308128
814,0.26417813
815,0.20031223
816,0.17919973
817,0.1770616
818,0.17481601
819,0.17553866
820,0.18698433
821,0.21480764
822,0.2737596
823,0.34804204
824,0.38320407
825,0.39403373
826,0.3991271
827,0.39421037
828,0.37986612
829,0.37510887
830,0.36871535
831,0.35662118
832,0.34736422
833,0.34356022
834,0.34045357
835,0.36640888
836,0.37108573
837,0.33898923
838,0.2741428
839,0.20719579
840,0.16704634
841,0.15844582
842,0.16177168
843,0.17599835
844,0.17944625
845,0.20525225
846,0.2784394
847,0.35044473
848,0.3819592
849,0.3898595
850,0.39324078
851,0.3905698
852,0.38343132
853,0.37815824
854,0.36635956
855,0.35358047
856,0.33545426
857,0.3269984
858,0.31468585
859,0.27551287
860,0.34063154
861,0.3183831
862,0.25822666
863,0.19670945
864,0.15115535
865,0.13714693
866,0.12954558
867,0.12977405
868,0.13541478
869,0.14789398
870,0.17007816
871,0.21042751
872,0.26309952
873,0.30588767
874,0.32386434
875,0.33003342
876,0.32445765
877,0.30756304
878,0.2870174
879,0.27725253
880,0.27071774
881,0.2712215
882,0.26797312
883,0.2776921
884,0.30016166
885,0.2826383
886,0.24081463
