H,Date,HE,MWh
D,4/1/2011,1,12151.77
D,4/1/2011,2,11668.22
D,4/1/2011,3,11448.49
D,4/1/2011,4,11434.57
D,4/1/2011,5,11681.97
D,4/1/2011,6,12452.91
D,4/1/2011,7,14225.79
D,4/1/2011,8,15475.51
D,4/1/2011,9,16073.25
D,4/1/2011,10,16367.43
D,4/1/2011,11,16495.05
D,4/1/2011,12,16509.23
D,4/1/2011,13,16366.06
D,4/1/2011,14,16194.76
D,4/1/2011,15,15885.93
D,4/1/2011,16,15637.29
D,4/1/2011,17,15617.02
D,4/1/2011,18,15778.26
D,4/1/2011,19,15855.83
D,4/1/2011,20,16193.37
D,4/1/2011,21,15887.46
D,4/1/2011,22,15069.82
D,4/1/2011,23,13896.44
D,4/1/2011,24,12716.11
D,4/2/2011,1,11804.87
D,4/2/2011,2,11303.47
D,4/2/2011,3,11215.95
D,4/2/2011,4,10833.52
D,4/2/2011,5,11371.15
D,4/2/2011,6,11589.4
D,4/2/2011,7,12270.8
D,4/2/2011,8,12812.78
D,4/2/2011,9,13672.65
D,4/2/2011,10,14215.72
D,4/2/2011,11,14406.66
D,4/2/2011,12,14310.51
D,4/2/2011,13,14053.33
D,4/2/2011,14,13734.48
D,4/2/2011,15,13446.08
D,4/2/2011,16,13246.4
D,4/2/2011,17,13266.85
D,4/2/2011,18,13477.96
D,4/2/2011,19,13666.27
D,4/2/2011,20,14362.94
D,4/2/2011,21,14500.06
D,4/2/2011,22,14002.38
D,4/2/2011,23,13044.02
D,4/2/2011,24,12081.92
D,4/3/2011,1,11248.1
D,4/3/2011,2,10995.2
D,4/3/2011,3,10739.95
D,4/3/2011,4,10623.18
D,4/3/2011,5,10672.74
D,4/3/2011,6,10958.12
D,4/3/2011,7,11285.16
D,4/3/2011,8,11718.87
D,4/3/2011,9,12563.96
D,4/3/2011,10,13222.36
D,4/3/2011,11,13512.29
D,4/3/2011,12,13600.12
D,4/3/2011,13,13504.09
D,4/3/2011,14,13260.74
D,4/3/2011,15,13009.15
D,4/3/2011,16,12889.8
D,4/3/2011,17,13073.67
D,4/3/2011,18,13340.99
D,4/3/2011,19,13685.52
D,4/3/2011,20,14575.8
D,4/3/2011,21,14812.61
D,4/3/2011,22,13972.71
D,4/3/2011,23,12768.55
D,4/3/2011,24,11640.23
D,4/4/2011,1,10867.82
D,4/4/2011,2,10645.94
D,4/4/2011,3,10476.85
D,4/4/2011,4,10483.48
D,4/4/2011,5,10889.24
D,4/4/2011,6,11917.54
D,4/4/2011,7,13763.11
D,4/4/2011,8,15126.03
D,4/4/2011,9,15646.59
D,4/4/2011,10,15843.98
D,4/4/2011,11,16075.12
D,4/4/2011,12,16186.69
D,4/4/2011,13,16079.68
D,4/4/2011,14,16026.13
D,4/4/2011,15,15903.21
D,4/4/2011,16,15835.03
D,4/4/2011,17,15890.13
D,4/4/2011,18,16054.04
D,4/4/2011,19,16067.71
D,4/4/2011,20,16360.79
D,4/4/2011,21,16075.44
D,4/4/2011,22,14965.06
D,4/4/2011,23,13765.63
D,4/4/2011,24,12448.01
D,4/5/2011,1,11868.62
D,4/5/2011,2,11331.77
D,4/5/2011,3,11163.89
D,4/5/2011,4,11100.15
D,4/5/2011,5,11349.07
D,4/5/2011,6,12267.02
D,4/5/2011,7,13569.1
D,4/5/2011,8,14740.35
D,4/5/2011,9,15209.97
D,4/5/2011,10,15437.07
D,4/5/2011,11,15615.51
D,4/5/2011,12,15629.31
D,4/5/2011,13,15563.51
D,4/5/2011,14,15490.79
D,4/5/2011,15,15311.55
D,4/5/2011,16,15302.03
D,4/5/2011,17,15473.26
D,4/5/2011,18,15679.21
D,4/5/2011,19,15745.89
D,4/5/2011,20,16132.94
D,4/5/2011,21,16099.36
D,4/5/2011,22,15131.15
D,4/5/2011,23,13842.31
D,4/5/2011,24,12717.35
D,4/6/2011,1,11721.84
D,4/6/2011,2,11471.14
D,4/6/2011,3,11325.36
D,4/6/2011,4,11328.34
D,4/6/2011,5,11533.7
D,4/6/2011,6,12397.41
D,4/6/2011,7,14165.67
D,4/6/2011,8,15320.12
D,4/6/2011,9,15496.85
D,4/6/2011,10,15509.48
D,4/6/2011,11,15487.72
D,4/6/2011,12,15372.78
D,4/6/2011,13,15158.44
D,4/6/2011,14,15037.66
D,4/6/2011,15,14821.39
D,4/6/2011,16,14668.84
D,4/6/2011,17,14784.78
D,4/6/2011,18,15076.19
D,4/6/2011,19,15350.04
D,4/6/2011,20,15998.2
D,4/6/2011,21,15967.82
D,4/6/2011,22,15022.64
D,4/6/2011,23,13577.53
D,4/6/2011,24,12404.36
D,4/7/2011,1,11677.01
D,4/7/2011,2,11237.06
D,4/7/2011,3,11066.91
D,4/7/2011,4,11038.81
D,4/7/2011,5,11343.02
D,4/7/2011,6,12329.78
D,4/7/2011,7,14066.7
D,4/7/2011,8,15288.72
D,4/7/2011,9,15491.03
D,4/7/2011,10,15499.02
D,4/7/2011,11,15510.12
D,4/7/2011,12,15376.72
D,4/7/2011,13,15152.81
D,4/7/2011,14,14976.94
D,4/7/2011,15,14688.24
D,4/7/2011,16,14427.13
D,4/7/2011,17,14343.99
D,4/7/2011,18,14419.98
D,4/7/2011,19,14558.79
D,4/7/2011,20,15329.42
D,4/7/2011,21,15666.18
D,4/7/2011,22,14804.73
D,4/7/2011,23,13414.11
D,4/7/2011,24,12074.26
D,4/8/2011,1,11446.94
D,4/8/2011,2,11370.2
D,4/8/2011,3,11195.6
D,4/8/2011,4,11409.77
D,4/8/2011,5,11539.23
D,4/8/2011,6,12684.09
D,4/8/2011,7,14044.53
D,4/8/2011,8,15110.84
D,4/8/2011,9,15298.9
D,4/8/2011,10,15268.86
D,4/8/2011,11,15267.06
D,4/8/2011,12,15120.28
D,4/8/2011,13,14883.46
D,4/8/2011,14,14766.31
D,4/8/2011,15,14569.08
D,4/8/2011,16,14388.18
D,4/8/2011,17,14374.41
D,4/8/2011,18,14410.7
D,4/8/2011,19,14481.63
D,4/8/2011,20,15059.23
D,4/8/2011,21,15105.19
D,4/8/2011,22,14422.34
D,4/8/2011,23,13280.79
D,4/8/2011,24,12067.26
D,4/9/2011,1,11354.16
D,4/9/2011,2,11125.59
D,4/9/2011,3,11029.52
D,4/9/2011,4,10951.32
D,4/9/2011,5,11046.13
D,4/9/2011,6,11472.45
D,4/9/2011,7,11701.92
D,4/9/2011,8,12577.76
D,4/9/2011,9,13382.35
D,4/9/2011,10,13804.97
